"Story","Title","Result","Date","Stability","Duration (s)"
"QVision","User creation","SUCCESS","2021-09-27T13:08:19.5155458-05:00[America/Bogota]","0.0","71.91"
"colpatria","ingreso a pagina avianca y compra de un vuelo","SUCCESS","2021-03-14T12:58:43.8950915-05:00[America/Bogota]","0.0","62.53"
