"Story","Title","Result","Date","Stability","Duration (s)"
"colpatria","ingreso a pagina avianca y compra de un vuelo","SUCCESS","2021-03-14T12:58:43.8950915-05:00[America/Bogota]","0.0","62.53"
"colpatria","entry avianca page and purchase a flight","ERROR","2021-09-27T10:15:36.4912589-05:00[America/Bogota]","0.0","3.03"
